,benchmark,move_list
107,thompson,"[u'10 rounds for time of:', u'15 ft Rope Climb, 1 ascent', u'95 pound Back squat, 29 reps', u'135 pound barbells Farmer carry, 10 meters']"
108,tom,"[u'Complete as many rounds in 25 minutes as you can of:', u'7 Muscle-ups', u'155 pound Thruster, 11 reps', u'14 Toes-to-bar']"
109,tommy-mac,"[u'2 rounds for time:', u'12 Burpees', u'12 Thruster 115#', u'12 Burpees', u'12 Power Snatch 115#', u'12 Burpees', u'12 Push Jerks 115#', u'12 Burpees', u'12 Hang Squat Clean 115#', u'12 Burpees', u'12 OHS 115#']"
110,tommy-v,"[u'115 pound Thruster, 21 reps', u'15 ft Rope Climb, 12 ascents', u'115 pound Thruster, 15 reps', u'15 ft Rope Climb, 9 ascents', u'115 pound Thruster, 9 reps', u'15 ft Rope Climb, 6 ascents', u'For time']"
111,tully,"[u'Four rounds of: ', u'Swim 200 meters', u'40 pound Dumbbell squat cleans, 23 reps', u'For time']"
112,tumilson,"[u'Eight rounds of: ', u'Run 200 meters', u'11 Dumbbell burpee deadlifts, 60 pound dumbbells', u'For time']"
113,tyler,"[u'Five rounds of:', u'7 Muscle-ups', u'21 reps 95 pound Sumo-deadlift high-pull', u'For time']"
114,war-frank,"[u'Three rounds of:', u'25 Muscle-ups', u'100 Squats', u'35 GHD situps', u'For time']"
115,weaver,"[u'Four rounds of:', u'10 L-pull-ups', u'15 Push-ups', u'15 Chest to bar Pull-ups', u'15 Push-ups', u'20 Pull-ups', u'15 Push-ups', u'For time']"
116,white,"[u'Five rounds of: ', u""15' Rope climb, 3 ascents"", u'10 Toes to bar', u'21 Walking lunge steps with 45lb plate held overhead', u'Run 400 meters', u'For time']"
117,whitten,"[u'Five rounds for time of:', u'22 Kettlebell swings, 2 pood', u'22 Box jump, 24 inch box', u'Run 400 meters', u'22 Burpees', u'22 Wall ball shots, 20 pound ball']"
118,whittman,"[u'Seven rounds for time of:', u'1.5 pood Kettlebell swing, 15 reps', u'95 pound Power clean, 15 reps', u'15 Box jumps, 24"" box']"
119,wilmot,"[u'Six rounds of:', u'50 Squats', u'25 Ring dips', u'For Time']"
120,wittman,"[u'Seven rounds of: ', u'1.5 pood Kettlebell swing, 15 reps', u'95 pound Power clean, 15 reps', u'15 Box jumps, 24"" box', u'For time']"
121,wood,"[u'5 Rounds of:', u'Run 400 meters', u'10 Burpee box jumps, 24"" box', u'95 pound Sumo-deadlift high-pull, 10 reps', u'95 pound Thruster, 10 reps', u'Rest 1 minute', u'For time']"
122,zeus,"[u'Three rounds for time of:', u'30 Wall ball shots, 20 pound ball', u'75 pound Sumo deadlift high-pull, 30 reps', u'30 Box jump, 20"" box', u'75 pound Push press, 30 reps', u'Row 30 calories', u'30 Push-ups', u'Body weight Back squat, 10 reps']"
123,zimmerman,"[u'11 Chest-to-bar pull-ups', u'2 Deadlifts, 315 pounds', u'10 Handstand push-ups', u'AMRAP 25 Min']"
124,30-muscle-ups,"[u'For time:', u'30 muscle-ups']"
125,300-challenge,"[u'25 pull-ups ', u'50 deadlifts at 135 pounds ', u'50 push-ups ', u'50 box jumps with a 24-inch box ', u'50 ""floor wipers"" (a core and shoulders exercise at 135 pounds) ', u'50 Single-arm Clean-and-Press 1 pood kettlebell', u'25 more pull-ups. ']"
126,airforce,"[u'For time:', u'20 Thrusters', u'20 Sumo deadlift high pulls', u'20 Push jerks', u'20 Overhead squats', u'20 Front squats']"
127,baseline,"[u'For time:', u'500m Row', u'40 squats', u'30 sit-ups', u'20 push-ups', u'10 pull-ups']"
128,bear-complex,[u'Perform 5 sets of 7 sequences (complexes) of the following exercises:']
129,box-jump,[u'Max height in cm']
130,crossfit-total,"[u'The CrossFit Total is the sum of the best of three attempts at the squat, the press, and the deadlift. All three lifts are done while standing on the floor.']"
131,double-unders,[u'Max reps']
132,fight-gone-bad,"[u""In this workout you move from each of five stations after a minute. This is a five-minute round from which a one-minute break is allowed before repeating. We've used this in 3 and 5 round versions. The stations are:""]"
133,filthy-fifty,"[u'50 Box Jumps @ 24""', u'50 Jumping Pull Ups', u'50 Kettleball Swings @ 1 pood', u'50 Walking Lunges', u'50 Knees to Elbows', u'50 Push Press @ 45 lbs', u'50 Back Extensions', u'50 Wall Ball Shots @ 20 lbs', u'50 Burpees', u'50 Double Unders', u'For time']"
134,gi-jane,[u'100 Pull-up Burpees for time']
