,Date,Workout,Result,Prescribed,Work performed,Work time,Formatted Result,workout_name_length,Movements,power
332,2015-12-15,"""Tabata"" - Burpees, Push-ups and Ball Slams : 7 x 20 secs / 10 secs",138.0,True,50308,630000.0,138 reps | 38 + 29 + 71,67,"burpee, push-up, ball slam",79.853968254
335,2015-12-14,"Chipper: Double Unders, Handstand Push-ups, GHD Sit-ups, 2 and  more",1166000.0,False,29097,1166000.0,19 mins 26 secs,68,"double under, ghd sit-up, handstand push-up, push-up, sit-up",24.9545454545
337,2015-12-14,"AMRAP 5 mins: Rows, Double Unders, Overhead Squats and Pull-ups",1.25,False,20278,300000.0,1 round + 200 m,63,"double under, row, pull-up, overhead squat, squat",67.5933333333
340,2015-12-10,Row 10000 m TT,2908000.0,True,244212,2908000.0,48 mins 28 secs,14,row,83.9793672627
345,2015-12-07,"3 RFT: Rows, Power Snatches, Overhead Squats and Double Unders",480000.0,True,51048,480000.0,8 mins,62,"double under, row, overhead squat, power snatch, snatch, squat",106.35
346,2015-12-07,CrossFit Games Open 11.1 / 14.1,5.0,True,48443,600000.0,5 rounds | 225 reps,31,,80.7383333333
347,2015-12-07,Alt EMOM 10 mins: Back Squats and Prone Dumbbell Rows,13318.0,True,13318,600000.0,Completed,53,"row, back squat, dumbbell row, prone dumbbell row, squat",22.1966666667
348,2015-12-07,Alt EMOM 12 mins: Strict Handstand Push-ups and Strict Muscle-up s,5671.0,False,5671,720000.0,Completed,66,"handstand push-up, muscle-up, push-up, strict handstand push-up, strict muscle-up",7.87638888889
350,2015-12-06,"3 RFT: Handstand Push-ups, Pull-ups and Back Squats",938000.0,False,56615,938000.0,15 mins 38 secs,51,"handstand push-up, pull-up, push-up, back squat, squat",60.3571428571
351,2015-12-06,"AMRAP 10 mins: Box Step-Ups, Ring Dips and Kettlebell Swing (Russian)s",2.1,False,4610,600000.0,2 rounds + 3 Bar Dip (assisted)s | 63 reps,70,"box step-up, dip, ring dip, kettlebell swing",7.68333333333
352,2015-12-06,"""Tabata"" - Hanging L Sits, Handstand Holds and Burpees : 3 x 20 secs / 10 secs",22.0,False,8594,270000.0,22 reps | 3 + 3 + 16,78,"burpee, handstand hold, hanging l sit, l sit",31.8296296296
353,2015-12-06,Alt EMOM 10 mins: Overhead Squats and Bench Press,15768.0,False,15768,600000.0,Completed,49,"bench press, overhead squat, press, squat",26.28
354,2015-12-05,"AMRAP 5 mins: Knee Jumps, Handstand Push-ups and Kettlebell Swings",4.0,False,9504,300000.0,4 rounds | 60 reps,66,"handstand push-up, knee jump, push-up, kettlebell swing",31.68
355,2015-12-05,Every 1 min for 10 mins: Squat Clean & Jerk,546.57880585,True,9848,600000.0,1205 lbs,43,"clean, clean & jerk, jerk, squat clean, squat clean & jerk, squat",16.4133333333
356,2015-12-05,CrossFit Games Open 11.3,38.0,True,18341,300000.0,38 reps,24,,61.1366666667
357,2015-12-05,Alt EMOM 10 mins: Deadlifts and Weighted Dips,32724.0,False,32724,720000.0,Completed,45,"dip, deadlift, weighted dip",45.45
358,2015-12-03,"""Tabata"" - Double Unders and Ball Slams : 8 x 20 secs / 10 secs",113.0,False,14684,240000.0,113 reps | 78 + 35,63,"double under, ball slam",61.1833333333
359,2015-12-03,"Roy:Five rounds 225 pound Deadlift, 15 reps 20 Box jumps, 24 inch box 25 Pull-ups For Time",1119000.0,False,47440,1119000.0,18 mins 39 secs,3,"box jump, pull-up, deadlift",42.3949955317
360,2015-12-03,Alt EMOM 10 mins: Front Squats and Shoulder Press,17808.0,True,17808,600000.0,Completed,49,"front squat, press, shoulder press, squat",29.68
362,2015-12-02,"Every 1:30 for 15 mins: High Hang Squat Snatches, Hang Squat Snatches and Squat Snatches",10.0,True,12680,900000.0,10.0 rounds,88,"hang squat snatch, high hang squat snatch, snatch, squat snatch, squat",14.0888888889
363,2015-12-02,Alt EMOM 10 mins: Back Squats and Prone Dumbbell Rows,16969.0,True,16969,600000.0,Completed,53,"row, back squat, dumbbell row, prone dumbbell row, squat",28.2816666667
364,2015-12-02,AMRAP 5 mins: Handstand Push-ups and Muscle-ups,2.1,False,5263,300000.0,2 rounds + 3 Handstand Push-up (box)s | 41 reps,47,"handstand push-up, muscle-up, push-up",17.5433333333
366,2015-12-01,50-40-30-20-10: Wall Balls and Sumo Deadlift High-pulls,883000.0,False,55903,883000.0,14 mins 43 secs,55,"deadlift, sumo deadlift high-pull, wall ball",63.3103057758
367,2015-12-01,Alt EMOM 10 mins: Overhead Squats and Bench Press,21284.0,True,21284,600000.0,Completed,49,"bench press, overhead squat, press, squat",35.4733333333
368,2015-12-01,"AMRAP 10 mins: GHD Sit-ups, Back Extensions and Handstand Walks",3.0,False,21240,600000.0,3 rounds,63,"handstand walk, back extension, ghd sit-up, sit-up",35.4
369,2015-11-28,5 RFT: Rows and Deadlifts,882000.0,False,69474,882000.0,14 mins 42 secs,25,"row, deadlift",78.768707483
370,2015-11-28,"""FGB Style"" - Overhead Holds and Thrusters",44.0,True,17153,300000.0,"44 reps | 9, 7, 8, 9, and 11 reps",42,"overhead hold, thruster",57.1766666667
371,2015-11-28,"2 RFT: Rows, Kettlebell Swings, Pvc Overhead Squats and PVC Good Mornings",480000.0,False,11988,480000.0,8 mins,73,"row, good morning, kettlebell swing, overhead squat, pvc good morning, pvc overhead squat, squat",24.975
372,2015-11-28,5 RFT: Kettlebell Swing (Russian)s and Ring Dips,240000.0,False,7316,240000.0,4 mins,48,"dip, ring dip, kettlebell swing",30.4833333333
374,2015-11-27,"""Tabata"" - Air Squats, Dumbbell Push Press, AbMat Sit-ups, 2 and  more : 8 x 20 secs / 10 secs",328.0,True,82817,1200000.0,328 reps | 112 + 61 + 76 + 45 + 34,94,"abmat sit-up, air squat, sit-up, dumbbell push press, press, push press, squat",69.0141666667
375,2015-11-25,"DT:Five rounds of: 155 pound Deadlift, 12 reps 155 pound Hang power clean, 9 reps 155 pound Push jerk, 6 reps For time",739000.0,True,44297,739000.0,12 mins 19 secs,2,"clean, deadlift, hang power clean, jerk, power clean, push jerk",59.9418132612
376,2015-11-25,"FT: 400 m; 3x Knee Jumps, Burpees, Kettlebell Swings and Pvc Thrusters",600000.0,False,25729,600000.0,10 mins,70,"burpee, knee jump, kettlebell swing, pvc thruster, thruster",42.8816666667
377,2015-11-25,Every 1 min for 15 mins: Snatch Balance,664.0,True,5666,900000.0,664 kg,39,"snatch, snatch balance",6.29555555556
379,2015-11-24,Filthy Fifty,2326000.0,True,113449,2326000.0,38 mins 46 secs,12,,48.7742906277
381,2015-11-22,Every 1 min for 20 mins: Split Jerk,1197.0,True,4659,1200000.0,1197 kg,35,"jerk, split jerk",3.8825
